kode,nama,ranking,klaster,input,proses,output,outcome,total
013202,Sekolah Tinggi Ilmu Hukum Deli Sumatera,1615,5,0.933,1.200,0.000,0.009,0.490
043217,Sekolah Tinggi Teknik Karawang,1616,5,0.942,1.200,0.000,0.000,0.488
033200,STIKES Bhakti Pertiwi Indonesia,1617,5,0.544,1.512,0.000,0.000,0.487
043109,STMIK Pranata Indonesia,1618,5,0.808,1.299,0.000,0.000,0.486
083071,STKIP Hamzar,1619,5,1.093,1.071,0.000,0.000,0.486
073098,Sekolah Tinggi Ilmu Ekonomi Nu Trate,1620,5,0.529,1.486,0.021,0.012,0.486
043155,Sekolah Tinggi Ilmu Ekonomi Stmy,1621,5,0.000,1.944,0.000,0.000,0.486
013188,STKIP Pangeran Antasari,1622,5,1.000,1.141,0.000,0.000,0.485
023022,Sekolah Tinggi Perkebunan Lampung,1623,5,0.560,1.492,0.000,0.000,0.485
083053,Sekolah Tinggi Informatika Komputer Artha Buana,1624,5,1.000,1.127,0.010,0.000,0.484
033183,Sekolah Tinggi Ilmu Ekonomi Santa Ursula,1625,5,1.000,1.135,0.000,0.000,0.484
043345,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Invada Cirebon,1626,5,0.286,1.702,0.000,0.000,0.483
013134,STIE Akuntansi Dan Bisnis Internasional,1627,5,0.000,1.931,0.000,0.000,0.483
043259,Sekolah Tinggi Analis Kimia Cilegon,1628,5,1.000,1.038,0.088,0.000,0.482
063046,Sekolah Tinggi Ilmu Kesehatan Harapan Bangsa Purwokerto,1629,5,0.000,1.924,0.000,0.000,0.481
103064,Sekolah Tinggi Ilmu Kesehatan Ceria Buana,1630,5,0.400,1.600,0.000,0.000,0.480
073053,Sekolah Tinggi Pariwisata Satya Widya,1631,5,0.414,1.589,0.000,0.000,0.480
093062,Sekolah Tinggi Ilmu Hukum Damarica Palopo,1632,5,1.000,1.118,0.000,0.000,0.480
133046,STIKES Bustanul Ulum Langsa,1633,5,0.198,1.400,0.175,0.150,0.478
023123,STISIP Bina Marta,1634,5,1.000,1.112,0.000,0.000,0.478
023067,Sekolah Tinggi Ilmu Teknik Prabumulih,1635,5,0.943,1.157,0.000,0.000,0.478
043140,STKIP Yasika,1636,5,0.595,1.400,0.023,0.003,0.475
113086,STKIP Pamane Talino,1637,5,0.836,1.205,0.024,0.000,0.474
143014,Sekolah Tinggi Ilmu Hukum Bintuni,1638,5,1.133,0.910,0.067,0.012,0.474
071087,Universitas Wahidiyah,1639,5,0.100,1.672,0.139,0.004,0.474
